id,road_team,home_team,total_game_minutes,road_team_final_score,home_team_final_score,road_team_rest,home_team_rest
21700333,New Orleans,Portland,240,123,116,3IN4-B2B,1
21700334,Orlando,New York,240,105,100,1,3+
21700335,Golden State,Miami,240,123,95,1,1
21700336,LA Clippers,Minnesota,240,106,112,3IN4-B2B,1
21700337,San Antonio,Oklahoma City,240,87,90,1,1
21700338,Houston,LA Lakers,240,118,95,3+,B2B
21700339,Orlando,Charlotte,240,94,104,3IN4-B2B,2
21700340,New York,Indiana,240,97,115,B2B,2
21700341,Phoenix,Philadelphia,240,115,101,1,1
21700342,Brooklyn,Atlanta,240,110,90,1,1
21700343,Milwaukee,Boston,240,100,111,1,1
21700344,Cleveland,Chicago,240,113,91,1,2
21700345,Minnesota,Memphis,240,92,95,3IN4-B2B,3IN4
21700346,Golden State,New Orleans,240,125,115,3IN4-B2B,3IN4
21700347,Denver,Dallas,240,105,122,1,1
21700348,Detroit,San Antonio,240,93,96,3IN4,3IN4-B2B
21700349,Washington,Utah,240,69,116,2,2
21700350,Phoenix,Toronto,240,113,126,3IN4-B2B,3+
21700351,Utah,Oklahoma City,240,94,100,B2B,1
21700352,Washington,Portland,240,106,92,B2B,2
21700353,Sacramento,Cleveland,240,95,101,3+,1
21700354,Chicago,Indiana,240,96,98,1,1
21700355,Atlanta,Orlando,265,106,110,1,3IN4
21700356,Dallas,Boston,240,90,97,1,1
21700357,Memphis,New York,240,88,99,1,3IN4
21700358,Golden State,Charlotte,240,101,87,3IN4,1
21700359,Detroit,Milwaukee,240,100,104,1,1
21700360,Denver,New Orleans,240,114,123,1,1
21700361,Miami,San Antonio,240,105,117,2,3IN4
21700362,Minnesota,LA Clippers,240,113,107,3IN4,2
21700363,LA Lakers,Philadelphia,240,107,104,3+,2
21700364,Washington,Phoenix,240,109,99,3IN4,3IN4
21700365,Oklahoma City,Brooklyn,240,95,100,1,2
21700366,Houston,Utah,240,112,101,3+,3IN4
21700367,Chicago,Charlotte,265,119,111,1,1
21700368,Golden State,Detroit,240,102,98,1,1
21700369,Cleveland,Indiana,240,102,106,1,1
21700370,Denver,Orlando,240,103,89,1,1
21700371,Toronto,Memphis,240,116,107,2,1
21700372,Dallas,Milwaukee,240,102,109,1,1
21700373,Sacramento,New Orleans,265,116,109,1,1
21700374,Boston,San Antonio,240,102,105,1,1
21700375,Washington,LA Clippers,240,112,113,1,2
21700376,Miami,Brooklyn,240,101,89,2,1
21700377,LA Lakers,Charlotte,240,110,99,1,3IN4-B2B
21700378,Orlando,Atlanta,240,110,117,3IN4-B2B,2
21700379,Philadelphia,Cleveland,240,98,105,1,3IN4-B2B
21700380,New York,Chicago,240,102,104,2,3IN4-B2B
21700381,Utah,Milwaukee,240,100,117,1,3IN4-B2B
21700382,Oklahoma City,Memphis,265,102,101,1,3IN4-B2B
21700383,San Antonio,Phoenix,240,104,101,3IN4-B2B,1
21700384,Houston,Portland,240,124,117,1,3+
21700385,Toronto,Sacramento,240,102,87,1,1
21700386,Boston,Detroit,240,91,81,1,1
21700387,Denver,Indiana,265,116,126,1,1
21700388,Dallas,Minnesota,240,92,97,1,3+
21700389,Philadelphia,New Orleans,240,124,131,3IN4-B2B,1
21700390,Atlanta,New York,240,107,111,B2B,B2B
21700391,Boston,Chicago,240,85,108,3IN4-B2B,3IN4
21700392,New Orleans,Houston,240,123,130,3IN4-B2B,1
21700393,Miami,Memphis,240,107,82,1,3IN4
21700394,Charlotte,Oklahoma City,240,116,103,3IN4,1
21700395,Portland,Golden State,240,104,111,1,2
21700396,Toronto,LA Clippers,240,91,96,3IN4-B2B,1
21700397,Atlanta,Cleveland,240,114,123,3IN4,2
21700398,Denver,Detroit,240,103,84,1,1
21700399,LA Lakers,New York,265,109,113,2,3IN4
21700400,Washington,Brooklyn,240,98,103,2,2
21700401,Philadelphia,Minnesota,265,118,112,3IN4,1
21700402,San Antonio,Dallas,240,89,95,2,1
21700403,Phoenix,Sacramento,240,92,99,2,1
21700404,Oklahoma City,Indiana,240,100,95,1,2
21700405,LA Clippers,Orlando,240,106,95,1,3+
21700406,Memphis,Washington,240,87,93,1,B2B
21700407,Denver,Boston,240,118,124,3IN4-B2B,3IN4
21700408,Portland,Miami,240,102,95,1,1
21700409,Utah,Chicago,240,100,103,3+,1
21700410,Milwaukee,New Orleans,240,108,115,3+,3IN4
21700411,Toronto,Phoenix,240,115,109,3IN4,B2B
21700412,Charlotte,Houston,240,96,108,1,1
21700413,Detroit,Atlanta,240,105,91,1,1
21700414,New York,Brooklyn,240,111,104,1,1
21700415,LA Lakers,Cleveland,240,112,121,1,1
21700416,Sacramento,Minnesota,240,96,119,1,1
21700417,Dallas,Golden State,240,97,112,1,2
21700418,Miami,Charlotte,240,104,98,1,1
21700419,Detroit,Indiana,240,104,98,3IN4-B2B,1
21700420,Portland,Orlando,240,95,88,1,1
21700421,Oklahoma City,Philadelphia,315,119,117,1,2
21700422,LA Clippers,Washington,240,91,100,1,3IN4
21700423,Utah,Boston,240,107,95,1,1
21700424,Brooklyn,Toronto,240,87,120,3IN4-B2B,1
21700425,Atlanta,Memphis,240,94,96,3IN4-B2B,1
21700426,Chicago,Milwaukee,240,115,109,1,1
21700427,New Orleans,Denver,265,111,117,1,3IN4
21700428,San Antonio,Houston,240,109,124,2,1
21700429,Portland,Charlotte,240,93,91,3IN4-B2B,3IN4-B2B
21700430,Utah,Cleveland,240,100,109,3IN4-B2B,1
21700431,Oklahoma City,New York,240,96,111,3IN4-B2B,1
21700432,LA Clippers,Miami,240,85,90,3IN4-B2B,3IN4-B2B
21700433,Milwaukee,Houston,240,111,115,3IN4-B2B,3IN4-B2B
21700434,Phoenix,Minnesota,240,108,106,2,1
21700435,Dallas,San Antonio,240,96,98,1,B2B
21700436,Boston,Memphis,240,102,93,3IN4-B2B,3IN4-B2B
21700437,Sacramento,Toronto,240,93,108,2,1
21700438,Orlando,Detroit,240,110,114,1,3IN4
21700439,Indiana,Brooklyn,240,109,97,1,3IN4
21700440,Cleveland,Washington,240,106,99,3IN4-B2B,1
21700441,New York,Charlotte,240,91,109,1,3IN4
21700442,Boston,Indiana,240,112,111,3IN4,3IN4-B2B
21700443,Miami,Atlanta,240,104,110,3IN4,2
21700444,Philadelphia,Chicago,240,115,117,2,2
21700445,Utah,Houston,240,99,120,3IN4,3IN4
21700446,Portland,Minnesota,240,107,108,3IN4,1
21700447,Denver,Oklahoma City,240,94,95,2,3IN4
21700448,Phoenix,Dallas,240,97,91,1,1
21700449,LA Clippers,San Antonio,240,91,109,3IN4,3IN4
21700450,Golden State,LA Lakers,265,116,114,3+,3+
21700451,Sacramento,Philadelphia,240,101,95,1,B2B
21700452,New Orleans,Washington,240,106,116,3+,1
21700453,Cleveland,Milwaukee,240,116,119,3IN4,2
21700454,Toronto,Charlotte,240,129,111,2,1
21700455,Indiana,Atlanta,240,105,95,3IN4,1
21700456,Miami,Boston,240,90,89,1,1
21700457,Sacramento,Brooklyn,240,104,99,3IN4-B2B,2
21700458,Orlando,Chicago,240,94,112,2,1
21700459,LA Lakers,Houston,240,122,116,1,1
21700460,Utah,Oklahoma City,240,79,107,1,1
21700461,Detroit,Dallas,240,93,110,2,1
21700462,Minnesota,Denver,240,112,104,1,1
21700463,San Antonio,Portland,240,93,91,1,1
21700464,Memphis,Golden State,240,84,97,3+,1
21700465,Phoenix,LA Clippers,240,95,108,1,1
21700466,Chicago,Cleveland,240,112,115,3IN4-B2B,1
21700467,Toronto,Philadelphia,240,114,109,B2B,3IN4
21700468,Boston,New York,240,93,102,3IN4-B2B,2
21700469,Memphis,Phoenix,240,95,97,B2B,3IN4-B2B
21700470,San Antonio,Utah,240,89,100,3IN4-B2B,3IN4-B2B
21700471,New York,Detroit,240,101,104,B2B,1
21700472,New Orleans,Orlando,240,111,97,2,1
21700473,Washington,Brooklyn,240,84,119,2,1
21700474,Dallas,Miami,240,101,113,1,1
21700475,LA Clippers,Houston,240,128,118,1,1
21700476,Charlotte,Milwaukee,240,104,109,1,2
21700477,Atlanta,Oklahoma City,240,117,120,1,1
21700478,Denver,Portland,240,102,85,1,1
21700479,LA Lakers,Golden State,240,106,113,1,1
21700480,Philadelphia,Toronto,240,86,102,1,3IN4
21700481,Milwaukee,Charlotte,240,106,111,B2B,3IN4-B2B
21700482,Brooklyn,Indiana,265,119,123,3IN4-B2B,2
21700483,Orlando,Washington,240,103,130,3IN4-B2B,B2B
21700484,Dallas,Atlanta,240,107,112,3IN4-B2B,3IN4-B2B
21700485,Chicago,Boston,240,92,117,3IN4,3IN4
21700486,New Orleans,Miami,240,109,94,B2B,3IN4-B2B
21700487,LA Clippers,Memphis,240,112,115,3IN4-B2B,3IN4
21700488,Oklahoma City,Utah,240,103,89,3IN4-B2B,3IN4
21700489,Denver,Golden State,240,96,81,3IN4-B2B,3IN4-B2B
21700490,Minnesota,Phoenix,240,115,106,2,3IN4
21700491,Portland,LA Lakers,240,95,92,3IN4-B2B,3IN4-B2B
21700492,San Antonio,Sacramento,240,108,99,3IN4,2
21700493,Philadelphia,New York,240,105,98,1,2
21700494,Cleveland,Golden State,240,92,99,3+,3IN4
21700495,Washington,Boston,240,111,103,3IN4,1
21700496,Houston,Oklahoma City,240,107,112,2,3IN4
